seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
90,Elnora,Snyder,65,Jujo Avenue,Coupuas,CT,92142,$1179.67,WHITE,12-05-1999
91,Theodore,Hayes,53,Omti Highway,Teteweg,SD,5418,$3696.05,BLUE,08-12-1933
92eroy,Rhodes,60,Becta Street,Wozoal,TX,62680,$1987.74,YELLOW,05/18/1906
93,Jacob,Simpson,42,Huova Key,Diihfo,WV,18686,$4550.13,BLUE,09/15/1903
94,Claudia,Payne,38,Kidav Avenue,Avihede,NE,595,$3320.19,BLUE,02-05-2055
95,Nellie,Rogers,40,Mudsu River,Rijalagi,AR,55923,$8589.70,WHITE,02-11-2022
96,Sara,Rodgers,58,Sozej Lane,Mebuvdid,AR,52409,$4653.60,BLUE,10/31/1986
97,Travis,Riley,38,Puno Avenue,Binino,PA,90218,$5290.72,YELLOW,07/30/1970
98,Justin,Sanders,23isem Junction,Cesiod,AK,88725,$3969.24,RED,11-05-1972
99,Addie,Pierce,18,Epdop Laneuzusce,WA,19329,$2361.13,YELLOW,08-05-2064
100,Essie,Perkins,57,Rivrak Plaza,Gekputli,IL,63571,$942.36,YELLOW,05/13/1905
101,Virgie,Young,57,Jied Trail,Jutkipov,WY,76164,$3950.75,YELLOW,04/14/1940
102,Catherine,McCoy,21,Ohewic Loop,Fulachu,MT,47793,$7486.38,YELLOW,07/15/2064
103ucile,Simpson,48,Figap Heights,Fidruwnu,IL,27920,$4072.74,WHITE,09-11-1911
104,Adeline,Clarke,43,Diol Plaza,Sojkavvi,NH,62097,$554.53,BLUE,03-04-1909
105,Virgie,Harrington,21,Nuiha Parkway,Cejcekis,TX,72993,$606.66,GREEN,09/17/2063
106,Tyler,Shelton,56,Agajet Place,Zesumno,AR,76834,$5677.79,GREEN,10-08-2044
107,Floyd,Baker,39,Ijhaj Point,Wofjeoh,VT,10890,$8268.36,GREEN,10/14/1984
108,Jason,Marshall,34,Zensa Place,Sotjikum,GA,95660,$7228.46,GREEN,01/15/2058
109,Isabella,Barton,30,Iscoz Center,Winatvih,ME,68204,$1530.97,YELLOW,07-11-2041
110eah,Guzman,61,Bucko Square,Gegbolo,CA,87686,$9223.05,BLUE,06/28/2062
111ola,Elliott,58,Uffuz Point,Hiawonuk,AL,14545,$2708.90,WHITE,03/29/1916
112,Mabelle,Shelton,40,Afote Trail,Zuduhotu,UT,79354,$8988.02,BLUE,07-11-1957
113,Howard,Delgado,49,Okisoj Avenue,Urjahseh,ND,67251,$8478.22,YELLOW,05/19/1932
114,Christine,Kim,24,Nesu Loop,Repcagib,SC,67419,$3100.29,BLUE,05/24/2042
115,Ina,Weber,53,Zomgoj Place,Kepkojlo,SC,30885,$8507.38,BLUE,07/19/1944
116,Francis,Phelps,29,Uvuse Way,Gazowo,CO,8859,$6310.44,WHITE,03/26/1970
117,Jean,Mendoza,53,Zitvi Loop,Zumantud,WA,54847,$6444.32,GREEN,09/30/2068
118,Anne,Cruz,26,Nubi Parkway,Tirtiwuge,IL,16003,$8414.00,YELLOW,09/27/1948
119,Clifford,Ward,22,Wucege Turnpike,Ucoguer,OK,25553,$9455.72,GREEN,09/19/1954
120,Warren,Tucker,43,Soffic Heights,Bewtous,KY,5917,$243.27,GREEN,04/16/1946
121,Dorothy,Schmidt,40,Jekuj Road,Didokda,NC,933,$3533.80,WHITE,04-08-1982
122,Craig,Higgins,62,Pejifa Square,Putgemuw,ID,18842,$6797.86,BLUE,03-09-1974
123,Roger,Carpenter,52,Sarros Pass,Akabidbo,SC,70097,$5767.12,RED,07/28/1903
124,Alex,Watson,49,Hebmu Circle,Endaam,CA,86849,$4834.60,RED,06-01-1907
125,Martinogan,25,Hike Extension,Zecpanvot,OK,5899,$62.14,RED,10/23/1938
126,Dustin,Pope,34,Reda Circle,Citbicuk,MI,57944,$1026.06,RED,03-07-2031
127,Henry,Price,29,Kugdar Point,CabupudA,10672,$1780.23,WHITE,01/15/2048
128,Mike,McKinney,43,Zalvef Park,Namasju,NV,56652,$9024.40,GREEN,02-02-1997
129,Gerald,Torres,28,Porta Heights,Bupifvel,WI,64848,$2625.79,GREEN,03/19/2020
130,Bernard,Harris,49,Sumco Square,Moawata,AK,84810,$8183.36,BLUE,10/27/2064
131,Peter,Dunn,28,Pudup Loop,Sestedko,MN,3309,$5865.28,WHITE,01/25/1990
132,Paul,Ward,31,Nancen Highway,Undowac,MO,69598,$2700.13,YELLOW,07/13/1975
133,Bessie,Ramos,63,Ipve Road,Huogpe,NC,91117,$7687.87,YELLOW,09/21/1909
134,Elnora,Frank,48,Idiozi Glen,Dinota,WI,21548,$7660.17,GREEN,09/22/1982
135,Joseph,Walters,24,Irlez Pike,Ceropce,TN,26099,$8172.58,GREEN,09/18/2015
136,Inez,Barnes,51,Verrir Manor,Kupniez,OK,64127,$5928.86,WHITE,02-03-2031
137,Jerome,Morgan,20,Seeli Drive,Jemipaf,OR,60390,$5661.12,BLUE,09/27/1968
138,Benjamin,White,61,Hizpog Parkway,Kohlezsaw,ID,61094,$8852.11,GREEN,08-01-2067
139,Philip,King,28,Powli Junction,Rivoifa,NE,68172,$5866.90,YELLOW,01/25/1994
140,Manuel,Bowen,27,Mezom Court,Sehfavhiw,PA,95602,$9704.15,RED,05-11-1988
141,Sally,Owen,34,Tevpu Pass,Vektemin,IA,1868,$3650.54,RED,05-07-1986
142,Alfred,Morris,64,Tepah Lane,Ugkajiv,GA,21528,$3567.27,BLUE,04/15/2032
143,Benjamin,Davis,54,Docef Path,Odietouvi,DE,77199,$5802.59,YELLOW,07/22/1916
144,Mario,Clark,54,Cime Street,Mikemtu,WI,61229,$3844.44,BLUE,04-10-2010
145,Emily,Crawford,32,Buve River,Zucihte,SD,26359,$7741.64,BLUE,01/14/1998
146,Marion,French,61,Pufwep Boulevard,Mijisluk,HI,48782,$9978.07,RED,07/16/1947
147,Mabel,Austin,55,Fina River,Rirloet,UT,37421,$772.33,YELLOW,09/29/1984
148,Don,Austin,50,Vaava Street,Ajmifas,VA,1608,$5401.07,RED,03-07-1992
149,Donucas,19,Ziel Trail,Teadoro,ND,15134,$7367.86,GREEN,07/15/1964
150,Hilda,Boone,46,Rineh Mill,Duguhuv,MD,26299,$3993.49,GREEN,07-07-1915
151ora,Steele,57,Vogi Pike,TaritaA,56497,$6364.58,YELLOW,02-03-1931
152illian,Graves,25,Owfor Way,Veewvu,IN,81148,$1627.90,YELLOW,07/29/2051
153,Manuel,Barrett,19,Partof Junction,Rudkewa,VA,67205,$676.58,WHITE,04-04-2065
154,Matildaynch,20,Nude Road,Fimobevi,WA,68327,$4413.49,WHITE,12/31/1971
155,Elizabeth,Stanley,18,Focli Drive,Tuajoas,ID,39243,$7052.75,WHITE,11/20/1939
156,Nancy,Meyer,26,Pebir Circle,Puwarju,AZ,17395,$5644.20,WHITE,04-03-1908
157,Hattie,Fletcher,47,Upufu Terrace,Egadajjib,NV,19558,$1897.10,YELLOW,12-03-2063
158,Bryanamb,30,Tolpa Plaza,Inuludu,SD,20693,$8494.65,BLUE,09/21/1948
159,Annie,Griffin,40,Womu Center,RofsajoA,13021,$3596.00,YELLOW,01-12-2031
160,Ronnie,Garrett,35,Riiko Place,Tamuncuw,MN,4026,$413.46,YELLOW,04-12-1972
161,Austin,Hamilton,51,Relom Way,Wevukor,IL,74799,$7479.79,YELLOW,04/20/1988
162illie,Mack,65,Sozpi Center,Eveisofod,PA,50573,$7267.44,YELLOW,03/15/1981
163,Carrie,Morton,39,Fulof Road,Ojpajfi,FL,12012,$8861.94,BLUE,02/15/1929
164,Daisyawrence,20,Fako Avenue,Cibdanvic,NE,60391,$4829.23,YELLOW,12/19/1953
165,Bernice,Walton,61azha Key,Odcowo,SD,6193,$800.08,YELLOW,07-02-1964
166,Barbara,Foster,54,Fivud Extension,Atedahpiz,WV,47914,$5751.53,YELLOW,11/25/1971
167,Frederick,Williamson,40,Pocul View,Elejijo,MI,89938,$7987.75,YELLOW,12/30/1925
168,Connor,Nichols,48,Getel Square,Bavcogka,PA,19272,$8746.74,YELLOW,06/20/1958
169ucile,Washington,20,Fesi Junction,Webnochiz,RI,53318,$5925.08,YELLOW,12/13/1995
170,Gregory,Pena,22,Cebu Boulevard,Bibiso,AK,58266,$415.84,BLUE,08-11-1984
171,Blake,Hale,62,Futdon Place,Zuiwehat,MN,15736,$2683.70,YELLOW,03/25/1902
172,Juan,Kim,63,Rada Court,Bifipi,MN,77687,$3013.95,RED,08-06-1969
173,Rosie,Stephens,30,Cussej Court,Emasiku,MO,99312,$8808.03,YELLOW,05/15/2055
174,Mina,Rodgers,47,Woso Point,Hatehir,MS,92311,$8029.89,BLUE,07/24/2059
175,Harriet,Gilbert,63,Hebbib Center,Jeniwuso,PA,57303,$1986.90,BLUE,07-01-2024
176,Genevieve,Hughes,49,Ehaju Mill,Benmefje,ND,3100,$4637.33,GREEN,10-09-1980
177,Maude,McGuire,26,Cermu Road,Kutdijnut,NV,55808,$4322.53,YELLOW,11-08-1932
178eroy,Nelson,45,Ideha River,Hanare,MT,23040,$4996.31,GREEN,06/29/2024
179,Devin,Zimmerman,44,Ugcog Park,Nippamom,SD,30533,$3130.26,BLUE,08-11-2020
180,Charles,Chambers,61,Dares Way,Giackav,HI,41374,$1745.50,WHITE,05/31/1937
181ucy,Cobb,39,Saclid Manor,Pocilom,CT,98610,$3085.32,BLUE,12-08-1973
182,Norman,Allison,52,Cijuw Parkwayivovijed,NM,21395,$490.20,YELLOW,09-12-2016
183,Sarah,Dixon,61,Nupam Road,Dilazuewo,HI,24052,$8354.64,WHITE,04-09-1929
184,Dorothy,Alvarado,58,Aroci Road,SipferoA,4263,$973.88,WHITE,07/28/1934
185,Ola,Woods,60,Vothap Manor,Ejdabbi,ID,78348,$98.07,GREEN,09/27/2016
186innie,Bowers,19,Vovov Place,Gobujoc,RI,46237,$4569.81,GREEN,12-07-2035
187,Erik,Boone,61,Cuhaj Glen,Mewupep,MS,54680,$8822.73,WHITE,04-03-1947
188,Gregory,Stone,39,Fiuso Centerodisoal,SD,55412,$3373.59,WHITE,11/25/1970
189,Shawn,Rose,45,Bumri Ridge,Jijtiha,TX,56437,$3644.26,YELLOW,10/22/1998
190,Jayden,Walton,64,Fehib Extension,Dawloknu,OH,31943,$838.65,RED,10/22/2059
191,Miguel,Floyd,53,Zizcuw Plaza,Ucebara,ID,93671,$3772.67,YELLOW,07/17/2039
192,Mae,Arnold,29,Pios Place,Dimokge,KS,36800,$5166.25,RED,04/29/1978
193,Floyd,Powers,19,Govsif Point,Puhuhoci,NE,29975,$7442.04,RED,08/21/1922
194uke,Fletcher,54ejge Pass,Pekhuvvim,NC,75353,$3583.60,WHITE,05/18/2029
195,Alvin,Hardy,43,Divvum Key,Mutcizu,UT,7574,$842.22,WHITE,10/20/1916
196,Joel,Higgins,49,Vuvsi Center,Bultumjot,AZ,12605,$3992.59,YELLOW,12/26/2013
197,Ralph,Summers,36,Sodez Avenue,Vefewpiw,ME,80375,$2953.98,WHITE,10/21/1929
198,Theodore,Robinson,57,Tunza Court,Wujgevuf,WI,67483,$1737.53,RED,02/28/1927
199,Willie,Bailey,56,Ahuka Trail,Hazehse,ID,17659,$5060.65,WHITE,10/20/2029
200,Raymond,Bailey,65,Guwir Trail,Nozinlo,TX,2468,$9101.62,RED,10-02-1961
201,Sophia,Stokes,53,Tunan Key,Voggufjor,DC,9114,$4206.28,WHITE,06/18/2032
202,Barbara,Watson,57,Tirrud Manorapjidip,IA,65425,$8189.83,RED,04/19/1973
203,Rodney,Hansen,42,Izgo Center,Vewzildel,WV,69766,$6028.95,RED,10-03-1908
204,Ada,Drake,19,Kizwuv Loop,Burfohi,SD,45991,$8279.51,BLUE,02/16/2042
205,Agnes,Hampton,44,Peblef Turnpike,Ilbufos,DE,17807,$5880.42,GREEN,07/19/1967
206,Josephine,Morrison,31,Tetgac River,Ovugado,FL,30666,$9158.34,RED,04/20/1949
207,Eliza,Herrera,33,Ucasum Manor,Cemimru,NH,42471,$3200.42,RED,07/27/2051
208,Sylvia,Wagner,22,Cuvu Glen,Tiagor,SD,93333,$3154.98,GREEN,03-07-2064
209,Dora,Pearson,54,Uteze Circle,Barzoahi,NH,61974,$9972.03,YELLOW,05-07-2012
210,Helena,Casey,60,Mohuv Manor,Cewuwbe,NV,49040,$7842.63,WHITE,01/31/2010
211,Sam,Roberson,20,Jobi Court,Guefliv,UT,70049,$2220.35,GREEN,11/19/1996
212,Gerald,Morton,38,Zoptab Glen,Sidvotkiw,SC,70738,$1018.72,RED,11/17/1914
213,Gene,Bailey,28,Cofor Lane,Muzeho,CO,35091,$7526.34,YELLOW,06/15/2054
214,Philip,Munoz,39,Dugaj View,Vegsipo,WI,20546,$3507.39,WHITE,11-02-1989
215,Owen,Guerrero,43umteg Ridge,Etzivu,WI,30000,$9125.39,YELLOW,04/18/2064
216,Alex,Hunt,59,Obogo Glen,Pidezeh,DC,30568,$3805.34,RED,04/25/2004
217,Bryan,Austin,57,Ibumet Turnpike,Ohviwo,OR,54614,$5647.20,BLUE,07-01-1931
218,Tyler,Johnston,18,Comu Road,ItujadejA,83522,$9017.92,YELLOW,07/14/1914
219,Edith,Harris,59,Mejih Place,Nujacaan,CT,94803,$7342.35,WHITE,12/21/2033
220,Maud,Singleton,35,Wudluc Road,Veesodal,WI,7494,$5141.72,YELLOW,12-08-1965
221,Cory,Vargas,62,Cigu River,Gawabo,ND,49663,$2934.13,BLUE,08-05-2061
222,Myra,Hale,26,Bebuf Grove,Ozalubig,KS,78051,$806.58,YELLOW,09-09-2048
223,Ralph,Chandler,63,Nuzla Trail,Wekipi,PA,45303,$244.68,YELLOW,02/19/1903
224,Jeff,Garza,40,Hoer Heights,Joulepeg,AR,79802,$711.84,YELLOW,09/17/1916
225,Rhoda,Torres,35,Favnoz Road,Jirfoda,IL,55987,$9575.68,YELLOW,01/13/1970
226,Manuel,Carpenter,38,Nobte Circle,Degoome,WV,76807,$9025.42,WHITE,05-03-1928
227,Mamie,Rose,28,Gesnez Parkway,Amunedut,AZ,26750,$6772.36,GREEN,05-09-1954
228,Alex,Sullivan,57,Womiw Boulevard,Zekuwef,NJ,52844,$6786.28,RED,03-05-1925
229,Olive,Fernandez,59,Fisbe Ridge,Kuugotu,CA,57824,$7621.57,YELLOW,09/13/1912
230,Elnora,Brown,52,Zibid View,Gocabira,NC,41495,$3927.10,BLUE,04/26/1987
231,Zachary,Dunn,26,Ogooja Point,Makoguc,DE,21431,$6275.82,GREEN,04/22/1982
232,Calvin,Sutton,41,Hejsor Pass,Reohehaw,PA,59501,$5810.19,GREEN,05/31/1908
233,Rena,James,42,Ewisi Way,Hoflokros,NM,96854,$2378.06,RED,11-06-1931
234,Owen,Goodman,51,Rabi Pike,Ucuzopba,GA,48539,$7032.51,BLUE,04-10-2049
235,Mabelle,Pittman,62,Vaeko Court,Jiebfag,AL,11109,$8146.78,BLUE,08-11-2039
236,Jerry,Russell,44,Agohiv Ridge,Deovujof,OH,20992,$5204.33,WHITE,12-11-2026
237,Jimmy,Jimenez,49,Imure Street,Gohmarha,MS,98741,$9690.40,YELLOW,02/24/1991
238,Nannie,Chandler,47,Toflog Key,Funomug,AZ,19917,$7935.16,YELLOW,09/27/2047
239,James,Gross,56,Kuep Glen,Zaisuji,GA,31311,$8211.96,RED,07/17/1915
240,Garrett,Watkins,63,Cuev Manor,Zewcise,AL,51564,$4655.42,BLUE,03-05-1970
241,Polly,Munoz,43,Ahmu Highway,Elefudo,KS,27940,$4778.90,WHITE,07-04-1998
242,Micheal,Johnson,35,Dadbe Square,FiuwfoA,3992,$9831.51,RED,07-02-2035
243ettie,Hines,39,Mice Heights,Jodajij,CO,29931,$9878.39,GREEN,12-04-1932
244,Jennie,Huff,20,Fowali Loop,Mitivne,CA,11110,$2827.58,RED,01/21/1966
245,Celia,Walker,33,Ihil Avenue,Ackuwbe,MT,90438,$6251.00,GREEN,12/14/2043
246,Ruby,Johnson,48,Veej Grove,Beozeg,VT,21710,$8808.72,RED,09-03-1970
247,Dean,Marshall,33,Vuwbun Turnpike,Dejpufas,SD,39624,$1992.99,BLUE,01/13/2014
248,Virgie,Morris,50,Udige Turnpike,Akevvis,CO,60714,$5070.08,BLUE,07-12-2061
249,Ryan,Bush,40,Huhaf Key,Pitcoet,NY,27239,$4611.30,WHITE,01-09-1937
250,Emma,Greene,24,Wozev Avenue,Puhocur,WA,42703,$1143.60,WHITE,02/19/2036
251,Flora,Stephens,34,Fojceb Mill,Mecfabdi,DC,23394,$2643.79,BLUE,03/19/1968
252ester,Hudson,30,Momris Turnpike,Famsigcen,CT,98281,$3676.24,YELLOW,07/24/2035
253,Tony,Soto,54,Finzow Glen,Maonino,WI,41553,$5852.01,YELLOW,08/27/1916
254,Gussie,Wright,64,Nanvef Turnpike,Vosdoaja,HI,77439,$3910.22,BLUE,02-04-2030
255,Eliza,Goodman,44,Masso Heights,Sorkamo,IN,93895,$6148.25,BLUE,11/18/1973
256,David,Munoz,36,Ukpin Glen,Alefihzu,MA,36333,$7639.56,RED,07/25/2059
257andon,Stevenson,23,Tohug Road,Keffedbu,MT,983,$3123.11,RED,01/20/1913
258,Maurice,Duncan,34,Depav Extension,Henaznug,NY,89009,$7305.93,GREEN,12/13/2020
259,Sophie,Bryant,61,Nepwi Boulevard,Cuwedama,NE,31581,$1828.00,BLUE,07-08-2022
260,Jeffery,Malone,30,Naej Boulevard,Sohilecuv,KY,6978,$7547.94,YELLOW,10/25/1986
261,Roxie,Hawkins,33amjew Manor,Mojole,VT,55094,$4809.81,BLUE,01-04-1908
262,Nell,Martinez,24,Guvof Street,Isorasog,UT,11392,$9483.14,YELLOW,05-02-2058
263,Mathilda,Ingram,31,Mabsa Path,Huetodo,ME,59348,$7328.26,WHITE,01/16/1977
264,Della,Diaz,53,Arfa Terrace,Mejesor,ID,26387,$6115.60,RED,09/21/2035
265,Beulah,Richards,42,Emra Pass,Bakozapib,MA,40440,$826.88,RED,11/20/2022
266,Christina,Barnett,58,Hizfi Ridge,Hitwuvo,NY,95993,$1786.98,WHITE,07-08-1961
267,Juan,Boyd,37,Weecu Street,Falmigos,UT,92738,$8989.56,WHITE,02-04-1981
268,Esther,Mendez,60,Riat Center,Jozioh,AL,36124,$4498.32,WHITE,06-09-1990
269,Jose,Matthews,45,Bilcud Pass,Suzejuti,IN,36133,$826.81,BLUE,05-02-1922
270,Mitchell,Pierce,56,Omsaj Way,Jemenun,WV,80797,$7174.84,YELLOW,09-07-1910
271,Norman,Tate,29,Podkur Manor,Etanama,IA,22453,$9688.79,YELLOW,03/30/2011
